time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2014-12-31 18:00:00-06:00,12.79,51.54,0.0,0.0,0.0,346.65,4.75,22.0,101047.0
2014-12-31 19:00:00-06:00,10.79,53.48,0.0,0.0,0.0,345.35,4.58,22.0,101073.0
2014-12-31 20:00:00-06:00,8.79,55.42,0.0,0.0,0.0,344.04,4.42,22.0,101099.0
2014-12-31 21:00:00-06:00,6.79,57.36,0.0,0.0,0.0,342.74,4.25,22.0,101070.0
2014-12-31 22:00:00-06:00,4.79,59.3,0.0,0.0,0.0,341.43,4.09,22.0,101040.0
2014-12-31 23:00:00-06:00,2.79,61.25,0.0,0.0,0.0,340.13,3.92,21.0,101011.0
2015-01-01 00:00:00-06:00,0.79,63.19,0.0,0.0,0.0,338.83,3.76,24.0,100932.0
2015-01-01 01:00:00-06:00,-1.2,65.13,0.0,0.0,0.0,337.52,3.6,27.0,100854.0
2015-01-01 02:00:00-06:00,2.47,73.64,0.0,0.0,0.0,343.7,3.17,30.0,100775.0
2015-01-01 03:00:00-06:00,2.48,75.08,0.0,0.0,0.0,344.72,3.12,33.0,100723.0
2015-01-01 04:00:00-06:00,2.49,76.52,0.0,0.0,0.0,345.73,3.06,37.0,100671.0
2015-01-01 05:00:00-06:00,2.49,77.96,0.0,0.0,0.0,346.75,3.01,41.0,100619.0
2015-01-01 06:00:00-06:00,2.55,79.57,0.0,0.0,0.0,345.68,3.0,41.0,100638.0
2015-01-01 07:00:00-06:00,2.6,81.17,0.0,0.0,0.0,344.62,3.0,41.0,100658.0
2015-01-01 08:00:00-06:00,2.65,82.78,9.0,0.0,9.0,343.55,2.99,41.0,100677.0
2015-01-01 09:00:00-06:00,2.91,83.85,25.0,0.0,25.0,344.53,3.08,42.0,100654.0
2015-01-01 10:00:00-06:00,3.17,84.91,60.0,0.0,60.0,345.52,3.16,43.0,100632.0
2015-01-01 11:00:00-06:00,3.44,85.98,74.0,0.0,74.0,346.5,3.24,43.0,100609.0
2015-01-01 12:00:00-06:00,3.87,88.08,115.0,0.0,115.0,347.18,3.34,44.0,100485.0
2015-01-01 13:00:00-06:00,4.29,90.18,130.0,0.0,130.0,347.87,3.43,44.0,100360.0
2015-01-01 14:00:00-06:00,4.72,92.28,74.0,0.0,74.0,348.55,3.53,45.0,100236.0
2015-01-01 15:00:00-06:00,4.87,93.33,108.0,0.0,108.0,349.58,3.57,42.0,100236.0
2015-01-01 16:00:00-06:00,5.01,94.39,73.0,0.0,73.0,350.62,3.61,38.0,100236.0
2015-01-01 17:00:00-06:00,5.16,95.44,34.0,0.0,34.0,351.65,3.66,35.0,100236.0
2015-01-01 18:00:00-06:00,4.91,91.42,0.0,0.0,0.0,343.05,3.76,28.0,100223.0
2015-01-01 19:00:00-06:00,4.66,87.39,0.0,0.0,0.0,334.45,3.86,20.0,100210.0
2015-01-01 20:00:00-06:00,4.41,83.37,0.0,0.0,0.0,325.85,3.96,12.0,100197.0
2015-01-01 21:00:00-06:00,4.51,83.93,0.0,0.0,0.0,332.32,3.98,15.0,100190.0
2015-01-01 22:00:00-06:00,4.61,84.49,0.0,0.0,0.0,338.78,4.0,18.0,100184.0
2015-01-01 23:00:00-06:00,4.7,85.05,0.0,0.0,0.0,345.25,4.01,21.0,100177.0
2015-01-02 00:00:00-06:00,4.75,86.79,0.0,0.0,0.0,347.65,4.02,22.0,100161.0
2015-01-02 01:00:00-06:00,4.81,88.54,0.0,0.0,0.0,350.05,4.03,23.0,100145.0
2015-01-02 02:00:00-06:00,4.86,90.28,0.0,0.0,0.0,352.45,4.04,24.0,100128.0
2015-01-02 03:00:00-06:00,4.83,91.39,0.0,0.0,0.0,352.25,3.82,24.0,100112.0
2015-01-02 04:00:00-06:00,4.81,92.51,0.0,0.0,0.0,352.05,3.6,24.0,100096.0
2015-01-02 05:00:00-06:00,4.78,93.62,0.0,0.0,0.0,351.85,3.38,24.0,100079.0
2015-01-02 06:00:00-06:00,4.68,91.05,0.0,0.0,0.0,350.08,3.45,21.0,100112.0
2015-01-02 07:00:00-06:00,4.57,88.48,0.0,0.0,0.0,348.32,3.52,18.0,100145.0
2015-01-02 08:00:00-06:00,4.47,85.91,19.0,0.0,19.0,346.55,3.59,15.0,100177.0
2015-01-02 09:00:00-06:00,4.78,86.45,48.0,0.0,48.0,348.27,3.57,13.0,100145.0
2015-01-02 10:00:00-06:00,5.09,86.99,100.0,0.0,100.0,349.98,3.55,12.0,100112.0
2015-01-02 11:00:00-06:00,5.4,87.53,138.0,0.0,138.0,351.7,3.53,10.0,100079.0
2015-01-02 12:00:00-06:00,5.89,88.23,158.0,0.0,158.0,353.38,3.36,15.0,99968.0
2015-01-02 13:00:00-06:00,6.37,88.93,151.0,0.0,151.0,355.07,3.19,20.0,99857.0
2015-01-02 14:00:00-06:00,6.86,89.63,126.0,0.0,126.0,356.75,3.02,24.0,99746.0
2015-01-02 15:00:00-06:00,6.81,90.9,148.0,0.0,148.0,357.93,3.27,26.0,99716.0
2015-01-02 16:00:00-06:00,6.75,92.17,62.0,0.0,62.0,359.12,3.53,28.0,99687.0
2015-01-02 17:00:00-06:00,6.7,93.44,48.0,32.38,44.0,360.3,3.78,29.0,99658.0
2015-01-02 18:00:00-06:00,7.02,90.48,0.0,0.0,0.0,363.57,3.67,29.0,99631.0
2015-01-02 19:00:00-06:00,7.34,87.53,0.0,0.0,0.0,366.83,3.57,29.0,99605.0
2015-01-02 20:00:00-06:00,7.66,84.57,0.0,0.0,0.0,370.1,3.46,29.0,99579.0
2015-01-02 21:00:00-06:00,7.61,87.39,0.0,0.0,0.0,370.15,3.72,8.0,99559.0
2015-01-02 22:00:00-06:00,7.56,90.21,0.0,0.0,0.0,370.2,3.99,348.0,99540.0
2015-01-02 23:00:00-06:00,7.5,93.03,0.0,0.0,0.0,370.25,4.25,327.0,99520.0
2015-01-03 00:00:00-06:00,7.67,91.72,0.0,0.0,0.0,370.22,3.5,307.0,99491.0
2015-01-03 01:00:00-06:00,7.83,90.4,0.0,0.0,0.0,370.18,2.75,288.0,99461.0
2015-01-03 02:00:00-06:00,8.0,89.09,0.0,0.0,0.0,370.15,2.0,268.0,99432.0
2015-01-03 03:00:00-06:00,7.82,87.54,0.0,0.0,0.0,368.53,2.03,266.0,99432.0
2015-01-03 04:00:00-06:00,7.64,85.99,0.0,0.0,0.0,366.92,2.06,265.0,99432.0
2015-01-03 05:00:00-06:00,7.46,84.44,0.0,0.0,0.0,365.3,2.08,263.0,99432.0
2015-01-03 06:00:00-06:00,6.43,85.13,0.0,0.0,0.0,345.62,2.66,276.0,99530.0
2015-01-03 07:00:00-06:00,5.39,85.81,0.0,0.0,0.0,325.93,3.23,290.0,99628.0
2015-01-03 08:00:00-06:00,4.36,86.5,21.0,0.0,21.0,306.25,3.81,304.0,99726.0
2015-01-03 09:00:00-06:00,6.71,80.52,80.0,0.0,80.0,303.18,3.72,299.0,99710.0
2015-01-03 10:00:00-06:00,9.06,74.53,203.0,58.87,178.0,300.12,3.63,294.0,99693.0
2015-01-03 11:00:00-06:00,11.41,68.55,435.0,431.79,205.0,297.05,3.54,290.0,99677.0
2015-01-03 12:00:00-06:00,13.04,59.2,635.0,928.85,86.0,296.28,3.19,283.0,99589.0
2015-01-03 13:00:00-06:00,14.67,49.85,644.0,936.5,86.0,295.52,2.83,277.0,99501.0
2015-01-03 14:00:00-06:00,16.3,40.5,586.0,920.09,83.0,294.75,2.47,271.0,99412.0
2015-01-03 15:00:00-06:00,14.79,42.43,467.0,874.82,76.0,290.32,2.41,264.0,99458.0
2015-01-03 16:00:00-06:00,13.29,44.37,296.0,767.89,63.0,285.88,2.36,258.0,99504.0
2015-01-03 17:00:00-06:00,11.78,46.3,102.0,508.33,38.0,281.45,2.3,251.0,99550.0
2015-01-03 18:00:00-06:00,10.65,53.59,0.0,0.0,0.0,277.78,2.32,246.0,99618.0
2015-01-03 19:00:00-06:00,9.52,60.87,0.0,0.0,0.0,274.12,2.33,242.0,99687.0
2015-01-03 20:00:00-06:00,8.38,68.16,0.0,0.0,0.0,270.45,2.34,237.0,99756.0
2015-01-03 21:00:00-06:00,8.23,66.55,0.0,0.0,0.0,269.87,2.4,254.0,99831.0
2015-01-03 22:00:00-06:00,8.08,64.94,0.0,0.0,0.0,269.28,2.46,272.0,99906.0
2015-01-03 23:00:00-06:00,7.92,63.33,0.0,0.0,0.0,268.7,2.52,290.0,99981.0
2015-01-04 00:00:00-06:00,7.99,60.84,0.0,0.0,0.0,268.7,2.97,305.0,100109.0
2015-01-04 01:00:00-06:00,8.05,58.36,0.0,0.0,0.0,268.7,3.43,321.0,100236.0
2015-01-04 02:00:00-06:00,8.12,55.87,0.0,0.0,0.0,268.7,3.88,336.0,100364.0
2015-01-04 03:00:00-06:00,7.31,56.67,0.0,0.0,0.0,267.98,4.03,341.0,100498.0
2015-01-04 04:00:00-06:00,6.51,57.47,0.0,0.0,0.0,267.27,4.18,346.0,100632.0
2015-01-04 05:00:00-06:00,5.7,58.27,0.0,0.0,0.0,266.55,4.33,350.0,100766.0
2015-01-04 06:00:00-06:00,5.26,60.48,0.0,0.0,0.0,263.75,4.97,352.0,100896.0
2015-01-04 07:00:00-06:00,4.82,62.69,0.0,0.0,0.0,260.95,5.62,354.0,101027.0
2015-01-04 08:00:00-06:00,4.38,64.9,66.0,392.67,30.0,258.15,6.26,356.0,101158.0
2015-01-04 09:00:00-06:00,5.07,59.49,257.0,718.16,60.0,258.3,6.8,357.0,101220.0
2015-01-04 10:00:00-06:00,5.76,54.09,437.0,851.81,75.0,258.45,7.33,357.0,101282.0
2015-01-04 11:00:00-06:00,6.46,48.68,573.0,918.62,83.0,258.6,7.86,358.0,101344.0
2015-01-04 12:00:00-06:00,6.93,46.12,649.0,947.28,88.0,259.25,7.74,360.0,101328.0
2015-01-04 13:00:00-06:00,7.39,43.55,657.0,952.46,88.0,259.9,7.62,1.0,101311.0
2015-01-04 14:00:00-06:00,7.86,40.99,597.0,933.29,85.0,260.55,7.5,2.0,101295.0
2015-01-04 15:00:00-06:00,6.85,42.08,399.0,632.32,115.0,259.25,6.23,3.0,101364.0
2015-01-04 16:00:00-06:00,5.85,43.18,283.0,758.67,51.0,257.95,4.97,5.0,101432.0
2015-01-04 17:00:00-06:00,4.84,44.27,66.0,132.45,49.0,256.65,3.7,6.0,101501.0
2015-01-04 18:00:00-06:00,4.4,47.06,0.0,0.0,0.0,256.7,3.57,10.0,101576.0
2015-01-04 19:00:00-06:00,3.97,49.86,0.0,0.0,0.0,256.75,3.45,13.0,101651.0
2015-01-04 20:00:00-06:00,3.53,52.65,0.0,0.0,0.0,256.8,3.32,17.0,101727.0
2015-01-04 21:00:00-06:00,2.76,53.88,0.0,0.0,0.0,253.57,3.63,17.0,101782.0
2015-01-04 22:00:00-06:00,1.98,55.1,0.0,0.0,0.0,250.33,3.94,17.0,101838.0
2015-01-04 23:00:00-06:00,1.2,56.33,0.0,0.0,0.0,247.1,4.25,17.0,101893.0
2015-01-05 00:00:00-06:00,0.63,57.64,0.0,0.0,0.0,243.75,3.78,16.0,101913.0
2015-01-05 01:00:00-06:00,0.06,58.96,0.0,0.0,0.0,240.4,3.32,16.0,101933.0
2015-01-05 02:00:00-06:00,-0.51,60.27,0.0,0.0,0.0,237.05,2.86,15.0,101952.0
2015-01-05 03:00:00-06:00,-0.98,61.59,0.0,0.0,0.0,235.27,2.78,13.0,101936.0
2015-01-05 04:00:00-06:00,-1.45,62.91,0.0,0.0,0.0,233.48,2.7,10.0,101919.0
2015-01-05 05:00:00-06:00,-1.93,64.23,0.0,0.0,0.0,231.7,2.62,8.0,101903.0
2015-01-05 06:00:00-06:00,-1.19,64.47,0.0,0.0,0.0,232.68,2.9,12.0,101933.0
2015-01-05 07:00:00-06:00,-0.46,64.72,0.0,0.0,0.0,233.67,3.17,16.0,101962.0
2015-01-05 08:00:00-06:00,0.27,64.96,69.0,415.81,31.0,234.65,3.45,20.0,101991.0
2015-01-05 09:00:00-06:00,2.31,59.69,196.0,390.01,89.0,237.75,2.98,22.0,101933.0
2015-01-05 10:00:00-06:00,4.36,54.41,449.0,876.81,76.0,240.85,2.51,24.0,101874.0
2015-01-05 11:00:00-06:00,6.41,49.14,587.0,941.49,84.0,243.95,2.04,26.0,101815.0
2015-01-05 12:00:00-06:00,7.71,46.9,663.0,967.16,89.0,247.07,1.6,35.0,101658.0
2015-01-05 13:00:00-06:00,9.0,44.66,671.0,971.51,89.0,250.18,1.15,44.0,101501.0
2015-01-05 14:00:00-06:00,10.3,42.42,609.0,949.86,86.0,253.3,0.7,52.0,101344.0
2015-01-05 15:00:00-06:00,8.8,48.7,484.0,899.4,78.0,253.42,1.24,81.0,101308.0
2015-01-05 16:00:00-06:00,7.31,54.98,307.0,785.1,65.0,253.53,1.77,109.0,101272.0
2015-01-05 17:00:00-06:00,5.81,61.26,108.0,527.3,39.0,253.65,2.3,137.0,101236.0
